COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
PAYPAL HOLDINGS, INC.;PYPL US Equity;;;0.1%;;;;;;;;0.4%;;0.5%
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;3.9%;5.4%;4.5%;5.6%;1.6%;6.2%;;6.4%;6.6%;4.1%;5.0%;6.1%;55.3%
RAIFFEISEN BANK INTERNATIONAL AG;RBI AV Equity;;;;0.6%;;;;;;;;;0.6%
RAINBOW TOURS S.A.;RBW PW Equity;;0.2%;;0.3%;0.6%;;0.7%;1.2%;0.2%;0.2%;;;3.5%
Regeneron Pharmaceuticals inc.;REGN US Equity;;;0.2%;;;;;;;;;;0.2%
RHEINMETALL AG;RHM GR Equity;;;;;0.5%;;0.4%;;;;0.8%;;1.7%
Pernod Ricard;RI FP Equity;;;0.2%;;;;;;;;;;0.2%
Render Cube S.A.;RND PW Equity;;;;;;;0.1%;;;;;;0.1%
RINGCENTRAL, INC.;RNG US Equity;;;;;;;;;;;0.3%;;0.3%
Roche Holding AG;ROG SW Equity;;;0.6%;;;;;;;1.1%;;;1.7%
RTX Corp.;RTX US Equity;;;;;;;0.5%;;;;;;0.5%
RYVU THERAPEUTICS S.A.;RVU PW Equity;1.4%;0.1%;;0.7%;;0.3%;;1.0%;0.2%;0.1%;;1.4%;5.3%
RAWLPLUG S.A.;RWL PW Equity;;0.1%;;;;;;0.0%;;;;;0.2%
Banco Santander S.A.;SAN SM Equity;;;;;0.2%;;0.7%;;;;;;1.0%
SAP SE;SAP GR Equity;;;;;;;0.2%;;;;;;0.2%
Starbucks Corporation;SBUX US Equity;;;0.4%;;;;;;;1.1%;;;1.5%
SELENA FM S.A.;SEL PW Equity;;0.2%;;;;;;;;;;;0.2%
SHOPER S.A.;SHO PW Equity;;0.0%;0.6%;0.0%;0.4%;0.6%;0.9%;0.6%;;;1.4%;0.2%;4.8%
SHOPIFY INC.;SHOP CN Equity;;;;;0.3%;;;;;;;;0.3%
SHERWIN-WILLIAMS CO/THE;SHW US Equity;;;;;0.3%;;;;;;;;0.3%
Siemens AG;SIE GR Equity;;;0.7%;;0.5%;;;;;1.7%;;;2.8%
SIKA AG;SIKA SW Equity;;;0.5%;;;;;;;;;;0.5%
SITIME CORP;SITM US Equity;;;;;0.3%;;;;;;;;0.3%
SNIEZKA SA;SKA PW Equity;;0.0%;;;;;;;0.2%;;;;0.2%
SELVITA S.A.;SLV PW Equity;1.6%;0.5%;0.3%;0.3%;0.6%;0.3%;0.0%;0.2%;0.2%;0.2%;;0.9%;5.0%
SANOK RUBBER COMPANY S.A.;SNK PW Equity;;0.1%;;;;;;;;;;;0.1%
Snowflake Inc.;SNOW US Equity;;;;;;;0.8%;;;;;;0.8%
SYNEKTIK S.A.;SNT PW Equity;;0.3%;;0.5%;;;1.1%;1.2%;;;;;3.1%
SANTANDER BANK POLSKA S.A.;SPL PW Equity;2.8%;3.9%;3.4%;3.0%;2.3%;4.5%;2.9%;4.4%;4.5%;2.5%;1.1%;2.8%;38.1%
SAIPEM SPA;SPM IM Equity;;;;;;;;;;;1.0%;;1.0%
SPYROSOFT SA;SPR PW Equity;;0.1%;;;;;;;;;;;0.1%
STALPROFIL S.A.;STF PW Equity;;0.0%;;;;;;;;;;;0.0%
STALPRODUKT S.A.;STP PW Equity;;0.2%;;;0.1%;;;0.2%;;;0.2%;;0.6%
STALEXPORT AUTOSTRADY S.A.;STX PW Equity;;0.0%;;0.0%;0.0%;;;;0.1%;;;0.7%;0.9%
Schneider Electric SE;SU FP Equity;;;;;;;0.5%;;;;;;0.5%
Skyworks Solutions Inc.;SWKS US Equity;;;;;;;;;;0.8%;;;0.8%
TEN SQUARE GAMES SA;TEN PW Equity;1.0%;0.0%;0.5%;0.1%;;0.6%;;;0.2%;0.5%;;;2.9%
TALEX SA;TLX PW Equity;;;;;;;;;0.0%;;;;0.0%
TOYA S.A.;TOA PW Equity;;0.2%;;;0.3%;;;;;;;;0.5%
TORPOL S.A.;TOR PW Equity;;;;0.1%;;;0.9%;;0.8%;;;;1.7%
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;;0.8%;0.5%;0.2%;0.9%;1.0%;;0.2%;1.1%;0.6%;1.1%;1.9%;8.4%
Take-Two Interactive Software Inc;TTWO US Equity;;;0.8%;;;;;;;;;;0.8%
TUI AG;TUI1 GR Equity;;;;;;;;;;;1.1%;;1.1%
TEXT S.A.;TXT PW Equity;;0.9%;0.3%;0.3%;0.8%;0.6%;;;0.4%;1.2%;;0.5%;5.1%
UniCredit S.p.A.;UCG IM Equity;;;;;;;0.7%;;;;;;0.7%
Ultimate Games S.A.;ULG PW Equity;0.0%;0.0%;;;;;;;;;;;0.0%
UNITEDHEALTH GROUP INC;UNH US Equity;;;;;0.3%;;;;;;;;0.3%
UNIBEP S.A.;UNI PW Equity;;0.2%;;;;;;0.1%;0.1%;;;;0.3%
UNIMOT S.A.;UNT PW Equity;;0.0%;;;;;;;;;;;0.0%
Urteste S.A.;URT PW Equity;0.3%;;;;;;;;;;;;0.3%
VISA INC.;V US Equity;;;;;0.8%;;0.2%;;;;;;1.1%
