COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
MASTERCARD INC.;MA US Equity;;;;0.005869926465698225;;0.007149409036690776;;;;;;;;0.013019335502389002
MABION S.A.;MAB PW Equity;;0.000004210375627599403;;;;;;;0.0000006804748577315625;;;;;0.000004890850485330966
MBANK S.A.;MBK PW Equity;0.008500026402368787;0.017092134344610777;0.001620023599457859;0.011519538187468297;0.018287001433392958;0.015596112785702372;0.01828377602905744;0.017756280090085694;0.01442704564437867;0.0033921530557380963;0.022215146926520353;0.019760415088862453;0.014906853978738432;0.1833565075663822
MO-BRUK S.A.;MBR PW Equity;0.00300516452080109;0.004790508619973015;;;;;0.0085563088027519;;0.0031261582543176514;0.004751254555230301;0.0044903788386934007;;0.014965144764078513;0.04368491835584587
LVMH MOET HENNESSY LOUIS VUITTON SA;MC FP Equity;;;;0.01254804902698641;;0.0029220059465651826;;;;0.004626172411733079;;;;0.02009622738528467
MERCOR S.A.;MCR PW Equity;;0.0027609095063544375;;;;;;;;;;;;0.0027609095063544375
MEDIGENE AG;MDG1 GR Equity;;;;;;;;;;;;0.00013073053186166549;;0.00013073053186166549
Mercadolibre Inc.;MELI US Equity;;;;;;;;0.0046092876828116136;;;;;;0.0046092876828116136
Meta Platforms Inc.;META US Equity;;;0.04837785284348336;;;0.015976280141566612;;0.014005010361965802;;;0.008408263730949125;;;0.0867674070779649
MFO S.A.;MFO PW Equity;0.000888666348866219;0.0009657586153419333;;;;;;;0.00003827700349141753;;;0.006457206058645326;;0.008349908026344897
MANGATA HOLDING S.A.;MGT PW Equity;;0.00016523595496718196;;;;;;;;;;;;0.00016523595496718196
M/I HOMES INC;MHO US Equity;;;;;;0.0035253219055945906;;;;;;;;0.0035253219055945906
BANK MILLENNIUM S.A.;MIL PW Equity;0.006056677366718798;0.01489080741295996;;;0.011681309757341913;0.013935778785527164;;0.010679075926559691;0.017594269030647485;;0.0007524194056753777;0.015793163178297431;0.008710908377603241;0.10009440924133106
PLN MINESTO AB;MINEST SS Equity;;;0.0001521942999758122;;;;;;;;;;;0.0001521942999758122
MLP GROUP S.A.;MLG PW Equity;;0.0010079670790867186;;;0.0024198386556850013;0.0013908799681337472;;;;;0.013181406152198027;;0.0008736152978679675;0.018873707152971462
MARTIN MARIETTA MATERIALS INC;MLM US Equity;;;;;;0.011261034314127676;;;;;;;;0.011261034314127676
ML SYSTEM S.A.;MLS PW Equity;;0.0004108365322281368;;;;;0.0020584384788206897;0.0000909999961092829;;;;;;0.0025602750071581093
