COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL
Camden Property Trust;CPT US Equity;;;;;;;;;;;;0.003007191698295616;;;;;0.003007191698295616
CRH PLC;CRH US Equity;;;;;;0.0007206941619798128;;;;;;;;;;;0.0007206941619798128
CREOTECH INSTRUMENTS S.A.;CRI PW Equity;;;;;0.007888075842672285;;;;0.005358885990712542;;0.009863100900927931;;;;;;0.023110062734312757
CREEPY JAR S.A.;CRJ PW Equity;0.002094954726229608;0.0004957162187020137;0.002702769185758354;;0.00049976011831807596;;;;;;;;;;;;0.005793200249008051
SALESFORCE, INC.;CRM US Equity;;;;;;0.0008174804274476194;;;;;0.005491769884951736;;;0.015378142947739666;;;0.02168739326013902
CrowdStrike Holdings Inc.;CRWD US Equity;;;;;;;;0.007225670908921191;;;;;;;;;0.007225670908921191
CAPSTONE COPPER CORP;CS CN Equity;;;;;;;;;;;;;;0.008030316774016866;;;0.008030316774016866
ISHARES CORE S& P 500 UCITS ETF;CSPX LN Equity;;;;;;;;;;;;;;;0.05838247369210714;;0.05838247369210714
CTP N.V.;CTPNV NA Equity;;;;;0.005258270924103801;;;;;;;0.005099679260232676;;;;;0.010357950184336477
CAPTOR THERAPEUTICS S.A.;CTX PW Equity;0.0045343015653091356;;;;0.00024333678079294242;;0.0022644858651792596;;0.008775023047933443;;;;;;;;0.01581714725921478
CHEVRON CORP;CVX US Equity;;;;;;0.0005481660687854619;;;;;;;;;;;0.0005481660687854619
DataWalk SA;DAT PW Equity;;;0.001397937306279363;;;;0.002859577843295399;0.01100159818009983;;;;;;;;0.00008016395635679028;0.015339277286031383
DATADOG INC;DDOG US Equity;;;;;;0.0011658552325736352;;;;;;;;;;;0.0011658552325736352
DEKPOL S.A.;DEK PW Equity;;0.0018482024863536992;;;;;;;;;;;;;;;0.0018482024863536992
DELL INC;DELL US Equity;;;;;0.0037973535212240345;;;;;;;;;;;;0.0037973535212240345
VINCI SA;DG FP Equity;;;;;;0.0040613002767702366;;;;;;;;;;;0.0040613002767702366
Deutsche Post AG;DHL GR Equity;;;;;;;;0.00004453007451834114;;;;;;;;;0.00004453007451834114
DIAGNOSTYKA S.A.;DIA PW Equity;0.0006563281004212818;0.00705397443938255;;0.012066849138275417;0.0045157250536059973;0.010701108891190145;0.008399032288160274;0.009364840682862631;0.0045850039639572593;0.003545762357032085;0.017939167076089766;0.006786539303819515;0.010089686350622122;0.007142042604818394;0.005247022621125225;0.016985467193047263;0.12507855006440991
DINO POLSKA S.A.;DNP PW Equity;0.04349915907029492;0.04672677855850992;;0.020804447508115356;0.02862239777042469;0.03219350288830657;0.03142840142096859;0.028527577927883407;0.03187588104907843;0.04098412021661713;0.032404272014829116;0.03934539296386396;0.034023862646223915;0.03420617810731867;0.006143230117692267;;0.4507852022601269
DO & CO AG;DOC AV Equity;;;;;0.0044100415369907575;;;;;;;;;;;;0.0044100415369907575
DOM DEVELOPMENT S.A.;DOM PW Equity;0.01021959085978855;0.005626513787762069;;0.0023474818388868166;0.008523528124043827;0.012418593299540583;0.00464829760462315;;0.0039549408617555565;0.00544154370822185;0.006685369609953971;0.007828872211647896;;0.004114777378149287;0.006184967715506522;0.005130279384448563;0.08312475638432865
DEVELIA S.A.;DVL PW Equity;0.007905077302977378;0.008758731963568396;0.00002386956481987677;;0.009928181518701247;;0.008957478372653002;;0.01749636382844846;0.005230290116144632;;0.006125264911297749;0.019694829376773737;0.011618970067036838;0.003172461637120631;0.009950754753533525;0.10886227341307547
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.0010559833102306594;;;;;;;;;;;;;;;0.0010559833102306594
AMREST HOLDINGS SE;EAT PW Equity;;0.0000043922971479557057;;0.0016158313961333556;;;0.0022799772944697552;;;0.0019190255020518618;;0.00045311477063215394;0.00041004692715895956;;;0.000004254417535068582;0.006686642605129111
Erste Group Bank AG;EBS AV Equity;;;0.01489042901391917;;;;;0.002708857040349616;;;;;;;;;0.017599286054268788
ECHO INVESTMENT S.A.;ECH PW Equity;0.000003662990746379726;0.00041428225726741486;;0.002922137457552071;;;0.002167478256940582;;0.0012692786553260732;0.0020369681843634577;;0.002752876114692307;;0.005684517876353448;0.0023127736191174134;;0.019563975412359147
ENEA S.A.;ENA PW Equity;0.0042569341251629705;0.008397701437371237;;;0.003529546715330658;0.00350018186359926;0.008690038481227511;;0.007817987191116449;0.008795046109473053;;;;;0.0007585773525370165;;0.04574601327581815
SIEMENS ENERGY AG;ENR GR Equity;;;;;0.0038206007446673307;;;0.00428970905183342;;;;;;;;;0.008110309796500751
ENTER AIR S.A.;ENT PW Equity;0.007727668561713043;0.0035397981612091983;;0.010238513923248909;;0.0013911617030925003;;;;;;;;0.005155021172796861;;0.0017482118280563266;0.029800375350116837
EOG RESOURCES INC;EOG US Equity;;;;;;0.0004262215293913235;;;;;;;;;;;0.0004262215293913235
Equinic, Inc.;EQIX US Equity;;;;;;;;;;;;0.007904470434720876;;;;;0.007904470434720876
