COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
BUMECH S.A.;BMC PW Equity;0;-1259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1259;;-1;;;;;;;;;;;;;;;-1
Banco Bilbao Vizcaya Argentaria S.A.;BBVA SM Equity;0;0;0;0;0;0;0;67476.6;0;0;0;0;0;0;0;0;67476.6;;;;;;;;1.3345267147144085;;;;;;;;;1.3345267147144085
Banco Comercial Portugues S.A.;BCP PL Equity;0;0;0;0;0;0;0;3178803;0;0;0;0;0;0;0;0;3178803;;;;;;;;;;;;;;;;;
Berkshire Hathaway Inc.;BRK/A US Equity;0;0;0;0;0;0;0;1.9;0;0;0;0;0;0;0;0;1.9;;;;;;;;1.540983606557377;;;;;;;;;1.540983606557377
Bioceltix SA;BCX PW Equity;0;0;0;10174;20026;0;0;0;0;0;121990;0;0;0;0;0;152190;;;;;;;;;;;0.6997808703234169;;;;;;0.8730195151612496
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;0;0;0;0;0;-1616;0;0;0;0;0;0;0;0;0;0;-1616;;;;;;-1;;;;;;;;;;;-1
CAPITAL ONE FINANCIAL CORP;COF US Equity;0;0;0;0;0;-370;0;0;0;0;0;0;0;0;0;0;-370;;;;;;-1;;;;;;;;;;;-1
CAPSTONE COPPER CORP;CS CN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;90208;0;0;90208;;;;;;;;;;;;;;;;;
CAPTOR THERAPEUTICS S.A.;CTX PW Equity;-11360;0;-1147;0;607;0;-1517;-27826.6;22977;0;0;0;0;0;0;0;-18266.6;-0.09291597484070968;;-1;;0.13512911843276942;;-0.2852576156449793;-1;;;;;;;;;-0.11342594202452194
CARNIVAL CORP;CCL US Equity;0;0;0;0;0;-2386;0;0;0;0;0;0;0;0;0;0;-2386;;;;;;-1;;;;;;;;;;;-1
CATERPILLAR INC;CAT US Equity;0;0;0;0;0;-288;0;5380.4;0;0;0;0;0;0;0;0;5092.4;;;;;;-0.3983402489626556;;;;;;;;;;;7.043430152143845
CCC S.A.;MDV PW Equity;73558;11077;90680;4274;-103336;-15247;2899;-332437.9;12660;112606;345206;12811;-10438;27936;-76481;11700;167467.1;0.8504404929821723;0.8239976195789632;10.363428571428572;0.1626579388034708;-0.7006495531779288;-0.5064775445123571;0.2957257982250332;-0.8085722239173658;1.2528451261751607;0.3030994710846131;2.955379004503193;0.12099203838198758;-0.5171738071632388;2.1088548350569943;-1;;0.11567664694168744
CD PROJEKT S.A.;CDR PW Equity;-20559;5085;-600;12408;14335;10208;741;-57444.8;7822;141216;-8864;-10221;-66;36382;2887;15820;149149.2;-0.08232820759250359;0.222071796663464;-0.4285714285714286;0.6581795035009547;0.075330012191533235;0.25571142284569138;0.08396600566572232;-0.1709513225154533;0.57688620104727484;0.3396722005474548;-0.020245115728792173;-0.24549646923187783;-0.002291391381452179;3.5498097375353694;0.04339330537644104;;0.07923801747480885
CF Industries Holdings Inc;CF US Equity;0;0;-1210;-1864;0;0;0;0;0;0;0;0;0;0;0;0;-3074;;;-1;-1;;;;;;;;;;;;;-1
CHEMRING GROUP PLC;CHG LN Equity;0;0;0;0;0;40107;0;0;0;0;0;0;0;0;0;0;40107;;;;;;;;;;;;;;;;;
CHENIERE ENERGY INC;LNG US Equity;0;0;0;0;0;-1481;0;0;0;0;0;0;0;0;0;0;-1481;;;;;;-0.8009734991887507;;;;;;;;;;;-0.8009734991887507
CHEVRON CORP;CVX US Equity;0;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0;480;;;;;;;;;;;;;;;;;
CHEWY INC;CHWY US Equity;0;0;0;0;0;-2949;0;0;0;0;0;0;0;0;0;0;-2949;;;;;;-1;;;;;;;;;;;-1
