COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;UNIQA TFI S.A.;TOTAL
ORACLE CORPORATION;ORCL US Equity;;;;;;;0.00037609969684328906;;;;;0.00037609969684328906
ONESPAWORLD HOLDINGS LTD;OSW US Equity;;;;;;;0.0008684126051973713;;;;;0.0008684126051973713
OTP BANK NYRT.;OTP HB Equity;;;;0.00752633725890894;;0.004711179266791885;;;;;;0.012237516525700824
PALFINGER AG;PAL AV Equity;;;;;;;;;;;0.0009692062895871355;0.0009692062895871355
PALO ALTO NETWORKS INC;PANW US Equity;;;;;;;0.0018778972053311702;;;;;0.0018778972053311702
PASSU SA;PAS PW Equity;;;;0.0040269613243541796;;;;;;;;0.0040269613243541796
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;;0.0005032428818902081;;0.0019523743624957232;;;;;;;;0.0024556172443859314
PCF GROUP SA;PCF PW Equity;;;;;;;;;0.00026773199722268604;;;0.00026773199722268604
PEPCO GROUP NV;PCO PW Equity;0.009148087428846579;0.005618694676044218;;0.009918887948766197;0.006698681251386707;0.011907324839484024;0.001564740916333594;0.010505600447784633;0.008610223124337717;0.004124445220864692;0.003146267560039805;0.07124295341388816
PCC ROKITA S.A.;PCR PW Equity;;;;0.006345748588476369;;;;;;;;0.006345748588476369
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;0.068463142991323;0.05613006746673408;0.04817005611295941;0.05780207996286503;0.06522635040099452;0.076240265709194714;0.06893637620987766;0.05962717863348373;0.06440291537937257;0.07751968068999019;0.035358703315564184;0.6778768168723592
POLENERGIA S.A.;PEP PW Equity;;;;;;0.0002117173889970082;;;;;0.00023695448643623326;0.00044867187543324145
