COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
Vestas Wind Systems A/S;VWS DC Equity;0;0;0;0;0;0;0;0;0;0;-34327;0;0;-34327;;;;;;;;;;;-57.2%;;;-57.2%
Vinci SA;DG FP Equity;0;0;0;0;0;861;0;0;0;0;0;0;0;861;;;;;;59.4%;;;;;;;;59.4%
Visa Inc.;V US Equity;0;0;0;0;0;129;0;0;0;0;0;0;0;129;;;;;;8.6%;;;;;;;;8.6%
Vonovia SE;VNA GR Equity;0;0;0;0;0;0;0;0;0;0;13266;0;0;13266;;;;;;;;;;;35%;;;35%
WABTEC CORP;WAB US Equity;0;0;0;0;0;326;0;0;0;0;0;0;0;326;;;;;;20.8%;;;;;;;;20.8%
WASTE CONNECTIONS INC;WCN CN Equity;0;0;0;0;0;426;0;0;0;0;0;0;0;426;;;;;;31.4%;;;;;;;;31.4%
WASTE MANAGEMENT INC;WM US Equity;0;0;0;0;0;-44;0;0;0;0;0;0;0;-44;;;;;;-4.4%;;;;;;;;-4.4%
WIELTON S.A.;WLT PW Equity;0;0;0;0;0;0;11237;0;0;0;142;116673;0;128052;;0%;;;;;101.1%;;;;0.1%;;;56.5%
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;153058;-2044;0;10557;-28605;1521;2748;0;498;0;56412;10165;19319;223629;209%;-22.3%;;37.4%;-100%;8.2%;44.7%;;17.9%;0%;114.5%;65.7%;36.5%;41.1%
WITTCHEN S.A.;WTN PW Equity;0;0;74900;0;27793;0;0;0;0;0;0;-15711;0;86982;;0%;;;79.3%;;;;;;;-27%;0%;50%
WIZZ AIR HOLDINGS PLC;WIZZ LN Equity;0;0;0;0;-25255;0;0;0;0;0;2526;8103;0;-14626;;;;;-100%;;;;;;4.1%;41.6%;;-13.7%
Walmart Inc.;WMT US Equity;0;0;0;672;0;2417;0;0;0;0;0;0;0;3089;;;;32.5%;;241.9%;;;;;;;;100.7%
Walt Disney Co/The;DIS US Equity;0;0;0;2108;0;0;0;0;0;0;0;-3876;0;-1768;;;;86.6%;;;;;;;;-100%;;-28%
Wells Fargo & Co;WFC US Equity;0;0;0;3037;0;-16;0;0;0;0;0;0;0;3021;;;;;;-0.3%;;;;;;;;64.7%
Western Digital Corp.;WDC US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Wheaton Precious Metals Corp.;WPM CN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
XTB S.A.;XTB PW Equity;0;29577;84325;60041;-124657;381963;720;0;21899;0;141717;-18201;22595;599979;;106.3%;;;-39.5%;1034.7%;3.3%;;;0%;1767.7%;-34.1%;14%;54.8%
Xylem Inc.;XYL US Equity;0;0;0;0;0;0;0;0;0;0;-14846;0;0;-14846;;;;;;;;;;;-79.8%;;;-79.8%
Yara International ASA;YAR NO Equity;0;0;7580;0;0;0;0;0;0;0;0;0;0;7580;;;;;;;;;;;;;;
ZALANDO SE;ZAL GR Equity;0;0;752;9604;0;0;0;0;0;0;0;1873;27000;39229;;;;113.8%;;;;;;;;19%;;214.4%
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;0;-260;0;0;0;0;0;0;0;0;0;0;0;-260;;-5.5%;;;;;;;;;;;;-5.5%
ZIPRECRUITER INC-A;ZIP US Equity;0;0;0;0;0;0;0;0;0;0;0;-6384;0;-6384;;;;;;;;;;;;-100%;;-100%
ZUE S.A.;ZUE PW Equity;0;6809;0;0;0;0;0;0;0;0;0;0;0;6809;;87.9%;;;;;;;;;;;;87.9%
ŻABKA GROUP SA;ZAB PW Equity;0;106856;0;400591;43001;1492067;68604;0;0;0;0;291672;634983;3037774;;;;;;;;;;0%;;;;82.5%
