COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
GN Store Nord A/S;GN DC Equity;8597;0;0;0;0;0;0;0;0;0;0;0;0;6775;0;15372;;;;;;;;;;;;;;;;
GRODNO S.A.;GRN PW Equity;0;8937;0;0;0;0;0;0;0;0;0;0;0;15153;0;24090;;;;;;;;;;;;;;;;
GRUPA AZOTY S.A.;ATT PW Equity;22628;11124;34750;0;49891;11340;2821;0;0;207812;0;63266;0;0;53308;456940;;;;;;;;;;;;;;;;
GRUPA KĘTY S.A.;KTY PW Equity;26801;2649;0;5289;12708;9825;1201;0;650;83956;23917;5703;3537;2432;6355;185023;;;;;;;;;;;;;;;;
GRUPA PRACUJ S.A.;GPP PW Equity;31622;196;0;0;0;0;0;0;0;22776;19890;11566;0;0;68675;154725;;;;;;;;;;;;;;;;
Globe Trade Centre S.A.;GTC PW Equity;0;0;0;0;0;17416;15915;0;0;61840;0;0;0;0;0;95171;;;;;;;;;;;;;;;;
Goldman Sachs Group Inc;GS US Equity;0;0;0;571;0;0;0;0;0;0;0;0;0;0;0;571;;;;;;;;;;;;;;;;
GreenVolt;GVOLT PL Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Grenergy Renovables;GRE SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
HAFNIA LIMITED;HAFNI NO Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
