COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Erste_pct;Generali Investments TFI S.A._pct;ING_pct;Investors TFI S.A._pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
MYTILINEOS HOLDINGS S.A.;MYTIL GA Equity;0;0;0;0;0;-19120;0;0;0;0;0;0;-19120;;;;;;-1;;;;;;;-1
Medicalgorithmics SA;MDG PW Equity;153910;0;0;72965;74419;0;0;0;0;0;0;0;301294;;;0;;;;;;;;;;1.51594465408805
Micron Technology Inc.;MU US Equity;0;0;-213;-5122;0;0;964;278;0;0;0;1368;-2725;;;-0.020619554695062936;-1;;;;;;;;;-0.1763525757183536
Monster Beverage Corp;MNST US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;0
NATWEST GROUP PLC;NWG LN Equity;0;0;0;0;0;150234;0;0;0;0;0;0;150234;;;;;;;;;;;;;
NESTLE SA;NESN SW Equity;0;0;0;-6467;0;0;0;0;0;0;0;0;-6467;;;;-1;;;;;;;;;-1
NETFLIX INC;NFLX US Equity;0;0;0;11229;0;0;0;0;0;0;0;0;11229;;;;;;;;;;;;;
NEUCA S.A.;NEU PW Equity;4087;627;-677;1016;0;-2;103;0;185;0;0;-210;5129;0.09916773833499137;0.625124626121635;-1;0.385286310200986;0;-0.0014064697609000865;0.02125464300453972;;0.006680871041132574;0;0;-0.06965174129353235;0.032605862570961763
NEWAG S.A.;NWG PW Equity;0;-7286;0;0;0;-3538;0;22181;1000;0;0;0;12357;;-0.35782339652293494;;;;-0.068021456174417905;;;;0;;;0.019520926110522252
NEWMONT CORP;NEM US Equity;0;0;0;0;0;0;-1794;0;0;0;0;0;-1794;;;;;;;-0.62248438584316446;0;;;;;-0.26526689339050712
NIKE;NKE US Equity;0;0;0;0;2254;0;0;0;0;0;0;0;2254;;;;;0.27965260545905714;;;;;;;;0.27965260545905714
NOVANTA INC;NOVT US Equity;0;0;0;0;0;0;406;0;0;0;0;0;406;;;;;;;;;;;;;
NOVO NORDISK A/S;NOVOB DC Equity;0;0;2889;11070;0;0;0;0;0;0;0;0;13959;;;0.017899850060099975;1.1018214392355925;;;;;;;;;0.08141969727901067
