COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
CYFROWY POLSAT S.A.;CPS PW Equity;;0.01433566081364574;;0.004577121259621351;0.008441780816408824;0.0028676401858638584;0.014966364722799053;0.016401020820633463;0.015583845339798326;0.012416603547967162;0.006588123872840062;0.00664612018174029;0.007772156679841371;0.011875497577235758;0.12247193581839527
CRH PLC;CRH US Equity;;;;;;;;;;;0.007969557076261161;;;;0.007969557076261161
CREEPY JAR S.A.;CRJ PW Equity;;0.003222707520425516;0.0046824866993382847;;0.006928264907025935;;;;;;;;;0.010374455970167094;0.02520791509695683
Salesforce Inc;CRM US Equity;;;;0.007488796259479213;;;;;;;;;0.009758760147110489;;0.017247556406589704
CROWDSTRIKE HOLDINGS, INC.;CRWD US Equity;;;;;;;;;;;;;0.005006830611279603;;0.005006830611279603
Cisco Systems Inc;CSCO US Equity;;;;0.005381495696374669;;;;;;;;;;;0.005381495696374669
ISHARES VII PLC;CSPX LN Equity;;;;;;;;;;;;;;0.09207601054428059;0.09207601054428059
CTP N.V;CTPNV NA Equity;;;0.000004974436562536319;;;;;;;;;;;0.005159453637723485;0.00516442807428602
Captor Therapeutics S.A.;CTX PW Equity;0.012900763213047266;;0.0022827573013855373;;0.0023660541173526717;0.0005258364188642324;0.01229568775172268;0.006162155388188131;;;;;;;0.03653325419056052
DADELO S.A.;DAD PW Equity;;0.0004553651921736915;;;;;;;;;;;;;0.0004553651921736915
DATAWALK S.A.;DAT PW Equity;0.015399126155372116;;0.008721656891195667;;0.0012438037785768505;0.0025959721532892366;0.009336594839370688;0.00298928279197423;;;;;;;0.04028643660977878
DEKPOL S.A.;DEK PW Equity;;0.0011096029893403547;;;;;;;;;;;;;0.0011096029893403547
DELKO S.A.;DEL PW Equity;;0.000654111432261392;;;;;;;;;;;;;0.000654111432261392
Danaher Corporation;DHR US Equity;;;;;;;;;;;0.011083253802956228;;;;0.011083253802956228
The Walt Disney Company;DIS US Equity;;;;0.006377564577636198;;;;;;;;;0.004948132354044589;;0.011325696931680787
DINO POLSKA S.A.;DNP PW Equity;0.099226196636807;0.06092116794845095;;0.04048569129928918;0.07380587727342346;0.06817797056009281;0.06663006796098942;0.06195099781823699;0.06529424082678631;0.0712809855913651;0.05536080323461574;0.04136799741344963;0.04287152070877085;0.05389564611661033;0.8012691633888876
DOM DEVELOPMENT S.A.;DOM PW Equity;;0.001315160861232591;;;0.0019180435898847573;0.007618698861334124;;;;0.0006797638568824427;0.0032508255547326104;;0.007310819632003943;;0.02209331235607047
DEVELIA S.A.;DVL PW Equity;;0.004158923693986126;;;;;;;;0.0007829575388578844;;0.009497334371101677;0.009260742372548645;;0.02369995797649433
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.0030691057464000404;;;;;;;;;;;;;0.0030691057464000404
AMREST HOLDINGS SE;EAT PW Equity;;0.0028394609528446524;;0.009555522879649796;0.003933764500084466;;0.0020324765467333175;;0.014608725913393652;0.006200439630823503;0.0047464887070679773;0.0008696238047729182;0.00511071034963075;;0.04989721328500104
PLN ERSTE GROUP BANK AG;EBS AV Equity;;;0.02300765575983002;;;;;;;;;;;;0.02300765575983002
Echo Investment S.A.;ECH PW Equity;;0.0012692734983068915;;;;;0.002609848068627532;;;0.005479345512185345;0.003315162166815039;;;;0.012673629245934808
