COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL
VERCOM S.A;VRC PW Equity;0.01437855120793408;0.0055245926600295;;0.007803956779517597;0.003847445791894203;0.01302136150017305;0.00344239466926768;0.005855705537857134;0.00020316304604033133;0.009126108368139056;0.00024804356412045345;0.010757308971015087;0.07420863209598817
VRG S.A.;VRG PW Equity;;0.0000006439804563239486;;0.011519023004240778;;;;;0.000008084681329213255;;;;0.011527751666026314
SFIO N/D PLN VANGUARD FUNDS PLC SUB-FUND VANGUARD S&P 500 UCITS ETF;VUSA LN Equity;;;;;;;;;;;;0.1907278346526017;0.1907278346526017
Vestas Wind Systems A/S;VWS DC Equity;;;;;;;;;;;0.005289174926225401;;0.005289174926225401
WABTEC CORP;WAB US Equity;;;;;;;0.003125022985429976;;;;;;0.003125022985429976
WASTE CONNECTIONS INC;WCN CN Equity;;;;;;;0.0028281834316971793;;;;;;0.0028281834316971793
WELLS FARGO & CO;WFC US Equity;;;;;;;0.0024151473213289568;;;;;;0.0024151473213289568
Wizz Air Holdings Plc;WIZZ LN Equity;;;;0.007361432522722537;;;;;;;0.005354812676620119;;0.012716245199342655
Wielton S.A.;WLT PW Equity;;0.0007097226522434405;0.019982999970880815;;;;;;;;0.0013376341828497065;;0.02203035680597396
WASTE MANAGEMENT INC;WM US Equity;;;;;;;0.0018815228835645975;;;;;;0.0018815228835645975
WALMART INC;WMT US Equity;;;;;;;0.001835425476047106;;;;;;0.001835425476047106
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;0.011538333701667076;0.00464130824997706;0.007772558312017601;0.005967154258647694;0.007530226423289956;;0.003251076590342576;0.0024430630387469432;0.005321699240386505;;0.008154515703534803;0.01095202150527999;0.06757195702389021
WITTCHEN S.A.;WTN PW Equity;;0.0008869900836019907;;;;;;;;;;0.0025090042981360305;0.003395994381738021
Essential Utilities, Inc.;WTRG US Equity;;;;;;;;;;;0.014018569371393361;;0.014018569371393361
XTRACKERS DAX UCITS ETF;XDAX GR Equity;;;;;;;;;;;;0.020995590804627766;0.020995590804627766
PLN EXXON MOBIL CORP;XOM US Equity;;;0.003032516307875299;;;;;;;;;;0.003032516307875299
XTB S.A.;XTB PW Equity;0.01120668177496358;0.02096939520816996;0.047543371627117255;0.019097034734685727;0.02092223501032752;0.01015115678805075;0.020220402757930236;0.022361190290984934;0.012464285334915508;0.024869096880228145;0.032502192347562686;0.029911214386130305;0.27221825714106657
Xylem Inc.;XYL US Equity;;;;;;;;;;;0.0019813721279108737;;0.0019813721279108737
PLN YARA INTERNATIONAL ASA;YAR NO Equity;;;0.000683153327534411;;;;;;;;;;0.000683153327534411
ZABKA GROUP SA;ZAB PW Equity;;0.019114908642208277;;;0.02004797031031724;;0.016970914479059236;0.02649889885860484;0.018994934691563172;0.006578922586194083;0.005169895418421188;0.01052788778967867;0.12390433277604672
ZALANDO SE;ZAL GR Equity;;;;;0.006889072659427574;;;0.005427225803048146;;;;0.003776865473331188;0.016093163935806907
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;;0.000632861866139696;;;;;;;;;;;0.000632861866139696
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;;0.0006729376033601385;;;;;;;;;;;0.0006729376033601385
Zoetis Inc.;ZTS US Equity;;;;;;;;;;;0.010621571332873905;;0.010621571332873905
ZUE S.A.;ZUE PW Equity;;0.0006881944834229164;;;;;;;;;;;0.0006881944834229164
